vendor,rule_id,src,dst,proto,port,action,finding_type,severity,rationale
fortinet,28,CLIENT1DAAS_450,"DR-DAAS_VLAN4
IN-DaaS-VL0
PROD-DaaS1",any,"TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,113,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",any,TCP/445,Accept,admin_port_exposed,High,Rule permits administrative port(s): [445]
fortinet,115,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",any,"TCP/135,TCP/27000,TCP/7279,TCP/1024-65535",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [135, 1025, 1080, 1433, 1434, 1521, 1723, 1900, 2049, 2082, 2083, 2303, 3074, 3128, 3306, 3389, 4000, 4444, 5000, 5060, 5432, 5555, 5900, 5939, 5985, 5986, 6379, 6667, 6697, 8000, 8080, 8081, 8443, 8888, 9090, 9100, 9200, 10000, 27017, 28017]"
fortinet,117,CLIENT1DAAS_450,"DAASNETS_400
DR-DAAS_VLAN4
PROD-DaaS1",any,"UDP/443,TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,118,CLIENT1DAAS_450,DAASNETSDEV_399,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,134,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",any,"TCP/1494,TCP/2598,TCP/49752,UDP/1494,TCP/80,TCP/8080,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443, 8080]"
fortinet,135,CLIENT1DAAS_450,any,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,140,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,723,CLIENT1DAAS_450,"DR-DAAS_VLAN4
PROD-DaaS1",any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,724,CLIENT1DAAS_450,"DAASNETSDEV_399
DAASNETS_400",any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1214,CLIENT1DAAS_450,any,any,"TCP/21,TCP/80,TCP/443,TCP/22",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [21, 22, 80, 443]"
fortinet,72,"DAASNETSDEV_399
DAASNETS_400",CLIENT1DAAS_450,any,"UDP/53,TCP/636",Accept,admin_port_exposed,High,Rule permits administrative port(s): [53]
fortinet,107,"DAASNETSDEV_399
DAASNETS_400",CLIENT1DAAS_450,any,"TCP/1494,TCP/2598,UDP/1494,UDP/2598,TCP/80,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443]"
fortinet,116,"DAASNETS_400
DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,any,"TCP/1494,TCP/2598,TCP/3389,TCP/49152-65535,TCP/135,TCP/138,TCP/5985,TCP/8008,UDP/49152-65535,UDP/1494,UDP/2598,UDP/49152-50795,TCP/80,TCP/443,GROUP MEMBER (2): ECHO-REPLY, ECHO-REQUEST,UDP/138",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 135, 138, 443, 3389, 5985]"
fortinet,133,"DR-DAAS_VLAN4
PROD-DaaS1",CLIENT1DAAS_450,any,"TCP/1494,TCP/2598,TCP/49752,UDP/1494,TCP/80,TCP/8080,TCP/443",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [80, 443, 8080]"
fortinet,6,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,8,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,9,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/80,Accept,admin_port_exposed,High,Rule permits administrative port(s): [80]
fortinet,10,CLIENT1DEV_79,Inter-FWL-VLAN4,any,"TCP/514,UDP/514",Accept,admin_port_exposed,High,Rule permits administrative port(s): [514]
fortinet,143,CLIENT1DEV_79,"WAN_21
Inter-FWL-VLAN4
PROD-DEV1",any,"TCP/8490,TCP/25",Accept,admin_port_exposed,High,Rule permits administrative port(s): [25]
fortinet,219,CLIENT1DEV_79,"Inter-FWL-VLAN4
PROD-DEV1",any,TCP/25,Accept,admin_port_exposed,High,Rule permits administrative port(s): [25]
fortinet,302,CLIENT1DEV_79,"Transit_1010
IN-PROD-VL0",any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1366,CLIENT1DEV_79,"Transit_1010
IN-PROD-VL0",any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1373,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,1374,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/21,Accept,admin_port_exposed,High,Rule permits administrative port(s): [21]
fortinet,1377,CLIENT1DEV_79,IN-PROD-VL0,any,TCP/443,Accept,admin_port_exposed,High,Rule permits administrative port(s): [443]
fortinet,216,"Inter-FWL-VLAN4
PROD-DEV1",CLIENT1DEV_79,any,"TCP/1580,TCP/1581-1583,TCP/1591-1593,TCP/10000,TCP/21,GROUP MEMBER (2): ECHO-REPLY, ECHO-REQUEST,TCP/22,TCP/23",Accept,admin_port_exposed,High,"Rule permits administrative port(s): [21, 22, 23, 10000]"
fortinet,221,"Inter-FWL-VLAN4
PROD-DEV1",CLIENT1DEV_79,any,TCP/22,Accept,admin_port_exposed,High,Rule permits administrative port(s): [22]
